mainFrameColor,58,21,4
jButton1,35,11,45
jButton2,6,34,36
jButton3,40,21,25
jButton4,73,6,21
jButton5,36,90,24
jButton6,63,44,12
jButton7,71,45,45
jButton8,40,82,6
jButton9,83,43,1
jButton10,37,19,68
jButton11,24,65,45
jButton12,1,6,19
jButton13,57,97,0
jButton14,9,43,50
jButton15,94,21,31
jButton16,53,26,59
jButton17,137,16,33
jButton18,81,2,16
jTextField1,6,75,40
jTextField1TextColor,176,16,10
jLabel1,233,233,216
jPanel1,43,28,25
jPanel2,25,147,19
jPanel3,223,202,231
jPanel4,21,60,33
jPanel5,49,62,19
