mainFrameColor,34,28,18
jButton1,106,17,3
jButton2,33,21,11
jButton3,7,59,177
jButton4,59,90,208
jButton5,167,29,246
jButton6,219,111,128
jButton7,55,204,7
jButton8,189,157,66
jButton9,10,62,142
jButton10,234,195,220
jButton11,225,232,121
jButton12,58,94,124
jButton13,149,110,148
jButton14,250,100,253
jButton15,246,247,236
jButton16,217,168,172
jButton17,255,218,219
jButton18,209,161,229
jTextField1,15,6,15
jTextField1TextColor,82,129,37
jLabel1,42,13,43
jPanel1,6,126,14
jPanel2,186,191,216
jPanel3,247,247,230
jPanel4,237,186,197
jPanel5,238,165,240
