mainFrameColor,24,12,3
jButton1,29,166,119
jButton2,27,3,4
jButton3,130,4,164
jButton4,137,216,83
jButton5,64,57,44
jButton6,170,47,130
jButton7,50,14,225
jButton8,112,69,50
jButton9,205,162,2
jButton10,192,229,215
jButton11,235,33,138
jButton12,138,77,245
jButton13,214,249,176
jButton14,251,190,243
jButton15,250,241,237
jButton16,253,231,235
jButton17,234,242,246
jButton18,235,239,250
jTextField1,12,2,9
jTextField1TextColor,151,12,2
jLabel1,5,18,1
jPanel1,4,4,4
jPanel2,240,231,253
jPanel3,252,249,254
jPanel4,238,228,253
jPanel5,237,243,251
