mainFrameColor,0,12,23
jButton1,103,71,68
jButton2,11,89,5
jButton3,93,113,172
jButton4,186,197,81
jButton5,143,79,33
jButton6,160,156,202
jButton7,237,17,102
jButton8,90,49,173
jButton9,50,3,168
jButton10,218,72,201
jButton11,68,255,50
jButton12,20,200,89
jButton13,96,183,79
jButton14,173,224,213
jButton15,217,196,226
jButton16,252,223,227
jButton17,186,249,248
jButton18,199,132,247
jTextField1,180,104,15
jTextField1TextColor,30,125,34
jLabel1,92,25,23
jPanel1,108,62,0
jPanel2,243,245,161
jPanel3,241,202,232
jPanel4,149,249,224
jPanel5,215,215,217
