mainFrameColor,21,11,13
jButton1,76,218,107
jButton2,176,173,231
jButton3,242,221,95
jButton4,45,39,127
jButton5,154,18,17
jButton6,58,114,222
jButton7,216,239,160
jButton8,223,93,251
jButton9,11,204,78
jButton10,79,168,57
jButton11,135,10,54
jButton12,192,7,91
jButton13,173,90,61
jButton14,207,156,206
jButton15,97,192,111
jButton16,73,159,223
jButton17,45,208,239
jButton18,57,157,81
jTextField1,159,249,160
jTextField1TextColor,1,194,123
jLabel1,112,199,141
jPanel1,3,7,132
jPanel2,239,71,152
jPanel3,197,251,170
jPanel4,107,67,67
jPanel5,157,98,248
