mainFrameColor,33,2,6
jButton1,210,150,130
jButton2,8,41,9
jButton3,185,85,138
jButton4,172,66,193
jButton5,240,61,35
jButton6,231,56,17
jButton7,205,90,40
jButton8,167,90,65
jButton9,253,96,221
jButton10,81,239,191
jButton11,131,66,31
jButton12,119,223,109
jButton13,179,53,118
jButton14,217,254,254
jButton15,235,248,244
jButton16,235,233,255
jButton17,244,245,247
jButton18,251,247,248
jTextField1,14,3,25
jTextField1TextColor,146,3,5
jLabel1,44,0,8
jPanel1,12,21,3
jPanel2,237,255,253
jPanel3,241,242,244
jPanel4,249,230,247
jPanel5,236,245,246
