mainFrameColor,36,45,47
jButton1,177,50,247
jButton2,90,2,53
jButton3,116,124,41
jButton4,208,131,75
jButton5,213,195,236
jButton6,246,78,202
jButton7,149,253,85
jButton8,52,113,177
jButton9,147,109,137
jButton10,228,110,255
jButton11,68,35,5
jButton12,89,45,134
jButton13,44,101,80
jButton14,239,169,222
jButton15,184,176,247
jButton16,199,244,250
jButton17,237,247,193
jButton18,173,253,199
jTextField1,28,166,8
jTextField1TextColor,34,42,59
jLabel1,15,11,56
jPanel1,90,20,1
jPanel2,247,204,187
jPanel3,221,202,225
jPanel4,255,246,197
jPanel5,253,83,252
