mainFrameColor,9,37,6
jButton1,9,117,68
jButton2,23,32,230
jButton3,8,50,217
jButton4,241,35,32
jButton5,84,233,181
jButton6,145,42,160
jButton7,30,38,164
jButton8,166,14,225
jButton9,106,141,0
jButton10,192,125,253
jButton11,208,127,195
jButton12,219,57,184
jButton13,174,154,211
jButton14,210,62,170
jButton15,67,254,145
jButton16,209,246,32
jButton17,246,108,9
jButton18,63,194,169
jTextField1,47,201,6
jTextField1TextColor,18,50,213
jLabel1,198,123,50
jPanel1,187,58,129
jPanel2,125,238,133
jPanel3,49,208,206
jPanel4,100,87,206
jPanel5,206,176,45
