mainFrameColor,12,1,13
jButton1,203,116,11
jButton2,9,40,3
jButton3,99,18,168
jButton4,160,19,127
jButton5,75,119,98
jButton6,121,151,189
jButton7,197,14,78
jButton8,67,121,153
jButton9,78,220,26
jButton10,83,77,147
jButton11,41,15,28
jButton12,233,104,125
jButton13,36,6,158
jButton14,235,238,246
jButton15,245,222,246
jButton16,249,247,248
jButton17,222,247,242
jButton18,236,253,230
jTextField1,144,1,4
jTextField1TextColor,8,4,2
jLabel1,5,20,7
jPanel1,7,54,7
jPanel2,216,229,254
jPanel3,246,247,252
jPanel4,248,236,252
jPanel5,234,249,246
