mainFrameColor,33,55,29
jButton1,33,71,0
jButton2,106,37,3
jButton3,83,67,10
jButton4,109,6,22
jButton5,100,52,26
jButton6,5,43,45
jButton7,0,88,7
jButton8,58,25,70
jButton9,74,137,6
jButton10,20,75,4
jButton11,77,39,50
jButton12,34,0,9
jButton13,38,41,11
jButton14,7,59,41
jButton15,186,11,18
jButton16,50,24,77
jButton17,10,1,69
jButton18,19,46,35
jTextField1,36,172,33
jTextField1TextColor,5,3,27
jLabel1,51,140,23
jPanel1,19,78,8
jPanel2,141,48,7
jPanel3,1,49,11
jPanel4,50,12,57
jPanel5,7,78,54
