mainFrameColor,7,6,3
jButton1,245,198,221
jButton2,169,174,30
jButton3,164,69,62
jButton4,185,59,113
jButton5,247,203,156
jButton6,207,173,66
jButton7,219,126,2
jButton8,205,70,93
jButton9,33,9,132
jButton10,50,177,14
jButton11,211,156,166
jButton12,96,246,88
jButton13,74,194,1
jButton14,184,64,63
jButton15,77,1,118
jButton16,166,112,138
jButton17,139,181,193
jButton18,194,230,5
jTextField1,28,54,89
jTextField1TextColor,172,203,32
jLabel1,154,106,71
jPanel1,140,71,99
jPanel2,17,12,250
jPanel3,0,124,64
jPanel4,245,15,76
jPanel5,3,147,223
