mainFrameColor,18,25,56
jButton1,74,26,24
jButton2,189,55,2
jButton3,56,48,50
jButton4,118,6,1
jButton5,17,6,18
jButton6,7,23,27
jButton7,62,5,72
jButton8,107,72,12
jButton9,21,81,23
jButton10,24,0,20
jButton11,47,13,45
jButton12,55,54,14
jButton13,14,18,107
jButton14,34,6,57
jButton15,25,46,86
jButton16,17,104,12
jButton17,66,45,3
jButton18,59,27,37
jTextField1,4,220,43
jTextField1TextColor,85,37,3
jLabel1,55,61,9
jPanel1,41,14,23
jPanel2,1,26,42
jPanel3,12,43,37
jPanel4,95,96,7
jPanel5,78,128,22
