mainFrameColor,82,0,6
jButton1,19,165,97
jButton2,224,20,197
jButton3,150,161,204
jButton4,14,82,35
jButton5,168,65,168
jButton6,209,211,35
jButton7,90,67,244
jButton8,73,160,109
jButton9,41,42,86
jButton10,17,156,188
jButton11,123,48,34
jButton12,134,8,240
jButton13,239,6,149
jButton14,65,15,152
jButton15,44,161,26
jButton16,7,104,127
jButton17,202,37,79
jButton18,125,43,32
jTextField1,87,29,136
jTextField1TextColor,9,48,247
jLabel1,143,24,8
jPanel1,27,211,2
jPanel2,137,22,6
jPanel3,68,229,203
jPanel4,35,202,94
jPanel5,40,209,33
