mainFrameColor,25,180,13
jButton1,159,84,3
jButton2,139,42,4
jButton3,180,92,7
jButton4,113,67,102
jButton5,28,251,251
jButton6,233,8,2
jButton7,131,89,153
jButton8,89,122,7
jButton9,183,219,231
jButton10,83,222,202
jButton11,215,12,215
jButton12,64,245,155
jButton13,63,19,241
jButton14,233,145,223
jButton15,172,159,237
jButton16,234,152,213
jButton17,149,221,252
jButton18,254,247,223
jTextField1,110,157,13
jTextField1TextColor,48,44,59
jLabel1,155,37,4
jPanel1,126,20,21
jPanel2,244,248,210
jPanel3,175,193,251
jPanel4,110,252,255
jPanel5,200,242,221
