mainFrameColor,29,9,4
jButton1,56,85,3
jButton2,126,209,150
jButton3,160,138,36
jButton4,145,147,167
jButton5,249,80,136
jButton6,25,219,92
jButton7,121,255,2
jButton8,27,228,46
jButton9,112,181,146
jButton10,116,143,235
jButton11,135,91,247
jButton12,131,159,129
jButton13,80,113,186
jButton14,16,58,196
jButton15,149,230,59
jButton16,117,54,246
jButton17,242,212,108
jButton18,9,114,88
jTextField1,189,26,235
jTextField1TextColor,19,219,131
jLabel1,43,146,185
jPanel1,19,248,88
jPanel2,224,68,113
jPanel3,20,93,122
jPanel4,37,66,31
jPanel5,81,9,243
