mainFrameColor,13,9,13
jButton1,23,141,85
jButton2,69,77,115
jButton3,170,228,126
jButton4,137,149,120
jButton5,66,123,66
jButton6,78,144,158
jButton7,133,128,250
jButton8,103,80,215
jButton9,237,33,123
jButton10,184,101,201
jButton11,152,166,188
jButton12,114,17,255
jButton13,155,210,155
jButton14,28,251,33
jButton15,2,64,109
jButton16,92,5,142
jButton17,20,99,247
jButton18,66,164,151
jTextField1,95,64,213
jTextField1TextColor,21,119,18
jLabel1,249,115,245
jPanel1,167,92,95
jPanel2,130,1,117
jPanel3,161,20,189
jPanel4,165,40,170
jPanel5,78,240,178
