mainFrameColor,130,62,3
jButton1,249,64,200
jButton2,5,1,40
jButton3,2,113,68
jButton4,156,12,31
jButton5,114,158,70
jButton6,255,156,3
jButton7,183,204,185
jButton8,24,185,65
jButton9,28,158,253
jButton10,77,204,100
jButton11,9,24,94
jButton12,179,34,147
jButton13,2,252,100
jButton14,175,179,248
jButton15,172,244,251
jButton16,237,232,224
jButton17,244,219,191
jButton18,130,230,246
jTextField1,13,86,10
jTextField1TextColor,131,8,61
jLabel1,73,56,38
jPanel1,102,8,12
jPanel2,178,251,239
jPanel3,242,138,250
jPanel4,248,181,252
jPanel5,217,184,246
