mainFrameColor,2,91,35
jButton1,21,0,49
jButton2,52,3,4
jButton3,78,7,5
jButton4,120,66,32
jButton5,64,28,58
jButton6,29,45,27
jButton7,70,41,24
jButton8,35,22,49
jButton9,7,15,41
jButton10,32,65,27
jButton11,180,1,1
jButton12,103,24,1
jButton13,0,96,11
jButton14,33,117,14
jButton15,14,63,48
jButton16,126,12,3
jButton17,64,110,11
jButton18,0,18,57
jTextField1,156,8,58
jTextField1TextColor,15,60,51
jLabel1,41,83,15
jPanel1,49,50,13
jPanel2,2,37,44
jPanel3,21,21,27
jPanel4,30,62,2
jPanel5,25,109,23
