mainFrameColor,8,11,0
jButton1,96,174,25
jButton2,27,7,96
jButton3,201,57,186
jButton4,184,192,170
jButton5,15,89,81
jButton6,255,11,223
jButton7,175,131,232
jButton8,197,131,155
jButton9,115,31,115
jButton10,204,193,199
jButton11,204,67,76
jButton12,44,90,28
jButton13,213,167,113
jButton14,48,114,213
jButton15,153,105,120
jButton16,6,73,241
jButton17,204,169,13
jButton18,14,201,104
jTextField1,33,207,255
jTextField1TextColor,83,66,160
jLabel1,44,221,169
jPanel1,164,184,2
jPanel2,223,52,46
jPanel3,193,195,37
jPanel4,67,91,113
jPanel5,38,246,190
