mainFrameColor,32,7,10
jButton1,176,194,54
jButton2,87,31,91
jButton3,150,51,41
jButton4,248,52,198
jButton5,34,133,111
jButton6,29,211,112
jButton7,151,28,196
jButton8,96,8,2
jButton9,213,99,175
jButton10,110,43,147
jButton11,13,54,202
jButton12,154,40,108
jButton13,108,141,115
jButton14,16,228,158
jButton15,100,6,106
jButton16,78,56,188
jButton17,89,47,181
jButton18,167,251,60
jTextField1,207,113,214
jTextField1TextColor,90,49,216
jLabel1,240,85,148
jPanel1,18,44,59
jPanel2,138,207,11
jPanel3,130,152,140
jPanel4,107,13,206
jPanel5,55,42,157
