mainFrameColor,64,27,47
jButton1,12,73,10
jButton2,40,71,70
jButton3,58,69,8
jButton4,5,93,21
jButton5,94,86,15
jButton6,71,52,37
jButton7,45,34,45
jButton8,47,136,7
jButton9,45,38,32
jButton10,22,11,46
jButton11,50,4,85
jButton12,9,100,53
jButton13,17,26,10
jButton14,24,14,22
jButton15,6,31,56
jButton16,0,108,14
jButton17,115,12,72
jButton18,21,137,1
jTextField1,35,28,8
jTextField1TextColor,113,9,119
jLabel1,0,27,46
jPanel1,21,50,11
jPanel2,22,123,19
jPanel3,60,42,22
jPanel4,0,41,28
jPanel5,46,22,25
