mainFrameColor,17,4,24
jButton1,119,11,171
jButton2,182,200,250
jButton3,43,75,236
jButton4,225,200,35
jButton5,140,12,137
jButton6,123,188,100
jButton7,114,145,253
jButton8,191,150,168
jButton9,122,139,58
jButton10,178,113,31
jButton11,28,180,176
jButton12,14,98,45
jButton13,196,199,141
jButton14,36,131,78
jButton15,134,242,240
jButton16,48,80,170
jButton17,202,236,163
jButton18,199,60,226
jTextField1,145,109,209
jTextField1TextColor,128,23,53
jLabel1,6,66,48
jPanel1,244,60,206
jPanel2,79,197,128
jPanel3,211,98,126
jPanel4,17,3,144
jPanel5,165,72,72
