mainFrameColor,35,10,4
jButton1,92,163,216
jButton2,53,143,13
jButton3,28,85,130
jButton4,109,84,6
jButton5,70,20,18
jButton6,80,142,226
jButton7,243,99,127
jButton8,133,125,120
jButton9,243,3,251
jButton10,220,218,234
jButton11,141,49,241
jButton12,249,249,80
jButton13,215,243,183
jButton14,236,121,200
jButton15,176,171,248
jButton16,204,212,220
jButton17,211,225,253
jButton18,255,245,192
jTextField1,7,26,11
jTextField1TextColor,142,3,56
jLabel1,113,61,30
jPanel1,17,47,33
jPanel2,251,237,195
jPanel3,235,136,247
jPanel4,248,253,251
jPanel5,145,185,254
